Year,Make,Model,Trim,Body,Transmission,Vehicle Identification Number,Odometer,Seller,Market Price,Selling Price,Sale Date,State
2013,Hyundai,Sonata,GLS,Sedan,Automatic,5npeb4acxdh696536,40384,Avis Corporation,12200,12500,2015-02-13,Texas
2011,Subaru,Outback,2.5i Premium,Wagon,Automatic,4s4brbcc1b3413784,20344,Jpmorgan Chase Bank N.A.,18600,15200,2015-01-22,California
2012,Chevrolet,Equinox,LS,suv,Automatic,2gnflcek5c6253377,57473,Lease Plan Usa,13150,14800,2015-06-02,Oregon
2009,Chrysler,Sebring,LX,Sedan,Automatic,1c3lc46b59n527427,109106,Santander Consumer,4150,4200,2014-12-23,Tennessee
2001,Chrysler,Town and Country,Limited,Minivan,Automatic,2c8gp64l31r309095,174408,Meridian Remarketing,1125,700,2015-02-17,Missouri
2010,Hyundai,Sonata,GLS,Sedan,Automatic,5npet4ac6ah608669,92130,Bright Star Credit Union,5675,5700,2015-01-09,Florida
2007,Pontiac,G6,GT,sedan,Automatic,1g2zh58n874202847,140897,Hendrick Kia Of Concord,3050,2600,2015-06-03,North Carolina
2003,Saab,9-3,Linear,Sedan,Automatic,ys3fb49s831007835,156367,Hendrick Chevrolet,750,1400,2015-06-01,North Carolina
2014,Ford,Edge,SEL,SUV,Automatic,2fmdk4jc3eba75465,17955,Avis Budget Group,22900,22000,2015-02-13,Pennsylvania
2004,Saturn,VUE,Base,SUV,Automatic,5gzcz53424s896826,211041,Santander Consumer,875,600,2015-01-12,North Carolina
1997,Mitsubishi,Galant,ES,Sedan,Automatic,4a3aj56g1ve121615,177273,Purple Heart,550,500,2015-02-26,Virginia
2001,Nissan,Maxima,SE,Sedan,Automatic,jn1ca31a21t112515,114164,Coggin Toyota At The Avenues,2075,2600,2015-02-26,Florida
2013,Nissan,Altima,2.5,sedan,Automatic,1n4al3ap8dn497841,44024,Nissan-Infiniti Lt,11650,12750,2015-06-03,California
2014,Ford,Focus,SE,Hatchback,Automatic,1fadp3k22el260358,32313,Ars/Enterprise,12000,12400,2015-02-17,Georgia
2012,Mazda,Mazda3,i Sport,Sedan,Automatic,jm1bl1ug1c1595307,53814,The Hertz Corporation,9025,8700,2015-02-04,Minnesota
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,Automatic,wddgf4hb9cr193734,37844,Mercedes Benz Of Tampa,20700,18500,2015-02-19,Florida
2005,Ford,Escape,XLT,SUV,Automatic,1fmyu03115da17753,85505,Indy Cars Express Llc,4675,1500,2015-02-11,Indiana
2009,Chevrolet,Silverado 1500,LT,crew cab,Automatic,3gcec23j29g124874,71508,Santander Consumer,19150,19200,2015-06-03,Texas
2004,Infiniti,FX35,Base,SUV,Automatic,jnras08u54x109234,89865,Sullivan Luxury Cars Llc,7075,11500,2015-01-21,California
2001,Ford,Escape,XLT,suv,Automatic,1fmcu04151kb80808,88482,Napletons Hyundai,2250,2700,2015-06-17,Wisconsin
2012,Honda,Accord,LX-P,Sedan,Automatic,1hgcp2f45ca052366,46058,Ahfc/Honda Lease Trust/Hvt  Inc. Eot,11850,13200,2014-12-18,California
2005,BMW,3 Series,325i,Sedan,Automatic,wbaev334x5kw16109,99615,Zena Holdings Llc,4975,2300,2015-03-05,Florida
2013,Toyota,Corolla,LE,Sedan,Automatic,5yfbu4ee8dp094830,62807,The Hertz Corporation,9750,9200,2015-05-22,Pennsylvania
2005,Mercury,Mountaineer,Convenience,SUV,Automatic,4m2du86w95zj09246,118492,Credit Acceptance Corp/Vrs/Southfield,4100,3650,2015-02-11,Utah
2014,Chrysler,Town and Country,Touring,minivan,Automatic,2c4rc1bg2er113041,17253,Chrysler Capital,20100,20800,2015-06-18,Michigan
2007,Lexus,ES 350,Base,sedan,Automatic,jthbj46g372011914,157439,Florida Auto Connection,7400,8600,2015-06-11,Virginia
2008,Pontiac,G6,Base,Sedan,Automatic,1g2zg57b484195309,136528,Automobile Acceptance Corp,3375,3300,2015-02-26,Georgia
2014,Dodge,Challenger,SXT,Coupe,Automatic,2c3cdyag4eh204013,6607,Fiserv/Regions Bank,19950,20900,2015-02-17,Texas
2006,Chevrolet,Tahoe,LS,SUV,Automatic,1gnek13z36r129913,230799,Repo Remarketing/Pro Bureau Of Collections Md,4325,2100,2015-02-25,California
2014,Chevrolet,Impala Limited,LT Fleet,sedan,Automatic,2g1wb5e38e1148731,30835,Enterprise Veh Exchange/Rental,13250,13300,2015-06-19,Florida
2013,Nissan,Altima,2.5,sedan,Automatic,1n4al3ap9dn549493,50625,The Hertz Corporation,11200,11200,2015-06-04,Illinois
2013,Nissan,Leaf,SL,hatchback,Automatic,1n4az0cp9dc407764,13822,Nissan-Infiniti Lt,11700,12900,2015-05-27,Washington
2012,Mercedes-Benz,E-Class,E350 Luxury 4MATIC,Sedan,Automatic,wddhf8jb9ca632130,30520,Mercedes-Benz Financial Services,26500,28500,2015-02-11,New Jersey
2004,Acura,TL,3.2,Sedan,Automatic,19uua66214a005431,125820,Audi South Orlando,5825,4900,2014-12-22,Florida
2005,Kia,Amanti,Base,Sedan,Automatic,knald124855054483,109478,Andrew Thomas Motorcars,2475,3650,2015-03-05,South Carolina
2012,Ford,Fusion,SEL,Sedan,Automatic,3fahp0jg8cr333955,63198,Dtg Operations Inc,10500,10200,2015-01-20,Florida
2012,Ford,Focus,SE,Sedan,Automatic,1fahp3f22cl412809,18625,Ford Motor Credit Company Llc,10400,10600,2015-01-22,Tennessee
2014,Chevrolet,Express Cargo,2500,Van,Automatic,1gcwgffa3e1185431,17988,Enterprise Veh Exchange/Rental,20500,20400,2014-12-30,Florida
2012,Volkswagen,Jetta SportWagen,TDI,Wagon,Automatic,3vwpl7aj0cm675982,52066,Mercedes-Benz Of Pompano,15500,15400,2015-02-10,Florida
2008,Jeep,Compass,Limited,SUV,Automatic,1j8ft57w18d593518,84841,Dt Credit Corporation,6225,5700,2014-12-31,Missouri
2012,Mercedes-Benz,E-Class,E350,Convertible,Automatic,wddkk5kf7cf144749,40680,Mercedes-Benz Finc Wholesale Advantage,33700,30250,2015-03-04,California
2004,Toyota,Avalon,XLS,Sedan,Automatic,4t1bf28b84u376125,177764,Spitzer Toyota Scion,4050,3800,2015-02-11,Pennsylvania
2011,Chrysler,Town and Country,Touring,Minivan,Automatic,2a4rr5dg4br635713,23813,Fiserv/Usb Dealer Services Northstar Exchange,15400,15000,2015-01-06,North Carolina
2014,Toyota,Avalon,XLE,sedan,Automatic,4t1bk1eb3eu098116,31269,Tdaf Remarketing,21700,21500,2015-06-03,Texas
2013,Toyota,Yaris,LE,Hatchback,Automatic,jtdktud38dd551500,40576,Ec Sales Llc,9750,10000,2015-02-05,Illinois
2013,Porsche,911,Carrera 4S,coupe,Automatic,wp0ab2a94ds120952,8994,Porsche Financial Services,88000,87500,2015-06-04,California
2012,Ford,F-150,XLT,supercrew,Automatic,1ftfw1et4cfa19038,52666,Chrysler Capital,24500,25500,2015-06-03,Missouri
2004,Chevrolet,Monte Carlo,LS,Coupe,Automatic,2g1ww12e449165819,157014,Easy Acceptance,1775,1850,2015-03-03,Illinois
2011,Honda,Accord,EX-L,Sedan,Automatic,1hgcp2f83ba121542,83310,Wells Fargo Dealer Services,11200,11600,2015-05-28,California
2011,Ford,Fusion,SE,Sedan,Automatic,3fahp0ha3br293560,65162,Fifth Third Bank,8600,8700,2015-02-11,Tennessee
2008,Ford,Mustang,Deluxe,Coupe,Automatic,1zvht80n685107411,59211,Bmw Of Arlington,8300,9800,2015-01-08,Texas
2014,Lincoln,MKS,Base,Sedan,Automatic,1lnhl9dk7eg605430,20598,Avis Budget Group,26200,24800,2015-01-13,Illinois
2007,Mercury,Milan,Base,Sedan,Automatic,3mehm07z97r601041,107796,Capital One Auto Finance,3350,2300,2015-01-13,Maryland
2014,Lincoln,MKS,Base,Sedan,Automatic,1lnhl9ek7eg606060,33779,Avis Budget Group,23500,23500,2015-01-12,Georgia
2013,Volkswagen,Passat,TDI SE,Sedan,Automatic,1vwbn7a30dc035005,28931,Tim Dahle Nissan Of Southtowne,18450,20500,2015-02-06,Nevada
2005,Nissan,Maxima,3.5 SL,Sedan,Automatic,1n4ba41e05c852156,69351,Ally,4200,2000,2015-05-07,Illinois
2012,BMW,5 Series,528i xDrive,Sedan,Automatic,wbaxh5c56cc594959,50753,Financial Services Remarketing (Lease),27000,27500,2015-01-27,Ohio
2014,Volvo,S60,T5,Sedan,Automatic,yv1612fs9e2293768,18909,Volvo Na Rep/World Omni,22700,21950,2015-01-20,Florida
2012,Infiniti,G Sedan,G37 Journey,g sedan,Automatic,jn1cv6ap7cm933407,14374,Nissan Infiniti Lt,20200,17800,2015-06-16,Florida
2008,Dodge,Ram Pickup 1500,Laramie,quad cab,Automatic,1d7hu18248s506777,169390,Jpmorgan Chase Bank N.A.,7450,6800,2015-06-03,Colorado
2011,Ford,F-350 Super Duty,XL,SuperCab,Automatic,1ft8x3b66beb80978,100056,Enterprise Veh Exchange/Rental,11600,14100,2015-02-04,California
2012,Chrysler,200,LX,Sedan,Automatic,1c3ccbab0cn225689,49916,Fiserv/Global Lending Services,9300,10500,2015-03-03,North Carolina
2008,BMW,5 Series,535i,sedan,Automatic,wbanw13578cz81534,91263,Lexus Of Tacoma At Fife,10850,13600,2015-06-03,Washington
2013,Dodge,Grand Caravan,SE,Minivan,Automatic,2c4rdgbg3dr791179,69656,Ge Fleet Services For Itself/Servicer,11000,12000,2015-01-29,Minnesota
2014,Ford,F-150,FX4,SuperCrew,Automatic,1ftfw1et0efb10732,12466,Ars/Enterprise,35400,28400,2015-01-28,New Jersey
1998,Volkswagen,Jetta,Wolfsburg,sedan,Automatic,3vwpa81h2wm256240,174187,The Hertz Corporation,550,750,2015-06-17,New Mexico
2015,Toyota,Corolla,S,Sedan,Automatic,5yfburhe4fp185010,6947,Toyota Financial Services,15400,17100,2015-02-25,Missouri
2001,Honda,Accord,LX,Sedan,Automatic,jhmcg56491c017975,256288,Automotive Remarketing Inc,1250,1300,2015-02-19,Nevada
2013,Nissan,Altima,2.5,Sedan,Automatic,1n4al3ap0dn540617,69970,Enterprise Fleet Management Exchange  Inc.,11250,11700,2015-02-11,Wisconsin
2014,Toyota,Camry,LE,sedan,Automatic,4t1bf1fk9eu329183,42326,Enterprise Veh Exchange/Rental,14400,14200,2015-02-26,South Carolina
2012,Infiniti,G Sedan,G37 Journey,g sedan,Automatic,jn1cv6ap5cm626527,44960,Nissan Infiniti Lt,17400,18000,2015-06-17,Florida
2011,Chevrolet,Equinox,LT1,SUV,Automatic,2gnaldec4b1170740,140273,Nextgear Capital,7400,7000,2015-02-03,Missouri
2014,Toyota,Camry,SE,Sedan,Automatic,4t1bf1fkxeu419135,13955,Toyota Motor Sales Usa Inc/Program,16800,16800,2014-12-31,Colorado
2008,Jeep,Wrangler,Unlimited X,suv,Manual,1j4ga39198l546065,103289,Fiserv,16200,13000,2015-05-27,Virginia
2011,Toyota,RAV4,Base,SUV,Automatic,2t3zf4dv1bw104773,34110,World Omni Financial Corporation,14350,15600,2015-02-03,Florida
2012,Chevrolet,Silverado 1500,Work Truck,Regular Cab,Automatic,1gcnkpea9cz138954,47534,Ford-Lincoln Dealer Program,14700,17000,2015-01-07,Pennsylvania
2011,Chevrolet,HHR,LT,Wagon,Manual,3gnbaffw7bs587353,41799,Santander Consumer,8050,5100,2015-05-26,Ohio
2011,Ford,F-150,Platinum,supercrew,Automatic,1ftfw1e62bfb85437,87481,Lease Plan Usa,26500,26800,2015-06-16,Georgia
2007,GMC,Yukon,SLE,SUV,Automatic,1gkfc13j77r121176,96814,Reliance Motors Llc,15050,19500,2015-05-28,California
2008,Ford,F-250 Super Duty,XL,SuperCab,Automatic,1ftsx20588ed04199,151051,Donlen Corporation,6325,5000,2015-01-22,California
2014,Nissan,Versa Note,1.6 SV,Hatchback,Automatic,3n1ce2cp0el406781,6514,Nissan Motor Acceptance Corporation,11600,11600,2015-02-18,Tennessee
2010,Toyota,RAV4,Base,SUV,Automatic,jtmbf4dv1ad026122,60730,Toyota Financial Services,11450,9700,2015-02-06,Pennsylvania
2012,Nissan,Altima,2.5,Sedan,Automatic,1n4al2apxcc147423,43106,Nissan-Infiniti Lt,11750,11400,2015-04-22,Missouri
2015,Jeep,Patriot,Sport,SUV,Automatic,1c4njpba5fd156439,13184,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15450,9900,2015-05-27,Indiana
2010,Jeep,Compass,Sport,SUV,Automatic,1j4nt1faxad640952,76240,Chrysler Capital,8375,8000,2015-02-12,Michigan
2010,Kia,Soul,!,Wagon,Automatic,kndjt2a21a7155804,108102,Crescent Automotive Corp Inc,6950,7500,2015-03-03,Georgia
2015,Volkswagen,Passat,Wolfsburg Edition PZEV,sedan,Automatic,1vwat7a37fc035846,18869,Sixt Rent A Car Llc,15200,14900,2015-06-17,California
2010,Nissan,Sentra,2,Sedan,Automatic,3n1ab6ap0al613143,87398,Tdaf Remarketing,5775,5100,2015-02-12,Georgia
2014,FIAT,500L,Easy,Wagon,Automatic,zfbcfabh0ez024230,22413,Hertz Corporation/Gdp,12100,11300,2015-02-11,Minnesota
2009,MINI,Cooper,S,Hatchback,Automatic,wmwmf73589tw82179,65745,Pompano Ford Lincoln Mercury,8650,9100,2015-01-02,Florida
2008,Ford,F-250 Super Duty,XLT,supercab,Automatic,1ftsx21578ed61024,67525,Buick Gmc Of Mahwah,11950,17600,2015-06-05,Pennsylvania
2010,Ford,Taurus,Limited,Sedan,Automatic,1fahp2jw8ag103369,118992,Jpmorgan Chase Bank N.A.,8750,9700,2015-02-12,Michigan
2012,BMW,X5,xDrive35d,suv,Automatic,5uxzw0c51cl672941,30143,Knauz Continental Autos Inc,33800,33100,2015-06-17,Wisconsin
2010,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,Automatic,wdcgg8hb3af347975,86009,Bobb Automotive Inc,17500,15400,2015-05-26,Ohio
2012,Toyota,Camry,LE,sedan,Automatic,4t1bf1fk3cu586014,36688,Toyota Financial Services,12350,12100,2015-06-03,New Jersey
2010,Ford,E-Series Wagon,E-350 Super Duty XL,Van,Automatic,1fbss3bl6ada22997,75878,Charlie Cheap Car,13450,14000,2015-02-20,Nevada
2005,Nissan,Altima,2.5,Sedan,Automatic,1n4al11d75c148998,159341,Gm Financial,2600,2200,2015-02-03,North Carolina
2006,Honda,Civic,Hybrid,Sedan,Automatic,jhmfa362x6s008863,151938,Remarketing By Ge/Manheim Arena Illinois,3000,2400,2015-05-26,Illinois
2013,Hyundai,Sonata,GLS,Sedan,Automatic,5npeb4ac8dh763814,41836,Enterprise Veh Exchange/Rental,12050,12000,2015-01-06,Georgia
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap7dm711712,14887,Nissan Infiniti Lt,23900,24500,2014-12-18,California
2014,Dodge,Charger,SE,Sedan,Automatic,2c3cdxbgxeh259168,7889,David Austin Auto Sales,17500,17000,2015-02-19,Nebraska
2003,Mazda,Mazda6,s,Sedan,Manual,1yvhp80d235m29092,202170,Autonation Toyota Winter Park,1125,2300,2015-03-03,Florida
2007,Chevrolet,Cobalt,LT,Coupe,Automatic,1g1al15fx77373944,66890,Adcock Brothers Inc,4100,7100,2015-02-06,Pennsylvania
2014,Audi,A5,2.0T Premium quattro,Coupe,Automatic,waucfafr1ea003933,21721,Autofinders Inc,30100,29750,2015-05-22,Nevada
2007,Saturn,Outlook,XR,SUV,Automatic,5gzev237x7j106972,98583,Penegon Mission Viejo Inc,8725,8500,2015-05-26,California
2013,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h95dr235739,62275,The Hertz Corporation,11750,10900,2015-06-10,Colorado
2013,Dodge,Dart,SXT,Sedan,Manual,1c3cdfbh6dd701023,28233,Music City Autoplex Llc,11150,12250,2015-01-21,Texas
2006,Honda,Accord,LX Special Edition,Sedan,Manual,1hgcm55356a077260,95007,Gs Autoplex Llc,5775,5800,2015-01-07,New Jersey
2012,Acura,TSX,Base,Sedan,Automatic,jh4cu2f69cc010794,12359,Ahfc/Honda Lease/Trust/Hvt  Inc. Eot Acuras,19650,19200,2015-03-05,Illinois
2013,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pc5sb2d7300081,41945,Avis Corporation,10900,10600,2015-02-24,Ohio
2013,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg5dr685038,60889,The Hertz Corporation,12100,11900,2015-02-18,Texas
2013,Dodge,Avenger,SE,Sedan,Automatic,1c3cdzab2dn731399,32290,Chevrolet Of Dublin,10600,10500,2014-12-30,Ohio
2013,Toyota,Avalon,XLE,Sedan,Automatic,4t1bk1eb4du022158,53928,The Hertz Corporation,17700,18701,2015-02-17,Georgia
2013,Toyota,Tacoma,V6,double cab,Automatic,5tflu4en4dx053388,50309,Chrysler Capital,25200,25300,2015-06-09,Georgia
2013,Acura,RDX,Base,SUV,Automatic,5j8tb3h34dl019132,13430,Mercedes Benz Of Eugene,25800,27900,2015-02-03,Oregon
2003,Chrysler,Sebring,Limited,Convertible,Automatic,1c3el65r53n536686,94299,Arg Inc,1975,600,2014-12-23,Florida
2011,Nissan,Rogue,S,SUV,Automatic,jn8as5mvxbw301638,42544,Nissan-Infiniti Lt,12500,13000,2015-01-30,Pennsylvania
2004,Volvo,XC70,Base,Wagon,Automatic,yv1sz59h241141067,151324,Volvo Of Cape Cod,3075,1600,2014-12-23,Massachusetts
2013,Ford,Fusion,Titanium,Sedan,Automatic,3fa6p0k92dr183043,19544,Ford Motor Credit Company Llc,19350,20100,2015-01-27,Illinois
2011,Chevrolet,Tahoe,LTZ,SUV,Automatic,1gnskce08br317317,88639,Leto Auto Exchange,28100,24800,2015-03-05,New York
2013,Dodge,Grand Caravan,SE,Minivan,Automatic,2c4rdgbg1dr723396,40340,Ez Rent A Car/Orlando,12300,12100,2014-12-30,Washington
2013,Chevrolet,Malibu,LS Fleet,Sedan,Automatic,1g11a5sa8du130121,54197,The Hertz Corporation,11100,10800,2015-02-12,Indiana
2012,Lexus,ES 350,Base,Sedan,Automatic,jthbk1egxc2509549,31981,Lexus Financial Services,22000,26000,2015-01-27,Florida
2005,Ford,F-150,XLT,SuperCrew,Automatic,1ftrw12w95fb14886,192067,Westlake Financial Services,5750,5200,2015-03-10,Texas
2012,Infiniti,M,M37x,Sedan,Automatic,jn1by1ar4cm392243,42101,Nissan Infiniti Lt,24300,24600,2015-02-11,Texas
2003,Nissan,Murano,SL,SUV,Automatic,jn8az08t33w101984,158263,Westlake Financial Services,3000,2100,2015-05-14,Florida
2013,Dodge,Avenger,SE,Sedan,Automatic,1c3cdzag0dn747810,23631,Chrysler Capital,11300,11100,2015-02-03,Illinois
2008,Lincoln,Navigator,Base,SUV,Automatic,5lmfu28508lj18871,120650,Tdaf Remarketing,12650,13800,2015-03-04,Texas
2011,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,Automatic,wddgf8bb7br171245,50741,Mercedes-Benz Financial Services,17200,15200,2015-02-03,Florida
2011,Toyota,Corolla,LE,Sedan,Automatic,2t1bu4ee6bc739133,10532,World Omni Financial Corporation,11800,12200,2015-03-10,Florida
2013,Lexus,GS 350,Base,sedan,Automatic,jthbe1bl2d5001343,16738,Lexus Financial Services,31700,31700,2015-06-04,Georgia
2014,Ford,Escape,SE,SUV,Automatic,1fmcu0gx7eub81534,46671,Ford Motor Credit Company,15300,14700,2015-02-19,Pennsylvania
2007,Audi,Q7,4.2 quattro,suv,Automatic,wa1av74lx7d008283,144657,Primeritus Remarketing/Lum,9300,7000,2015-06-01,North Carolina
2005,GMC,Envoy,SLE,SUV,Automatic,1gkdt13s152108154,158268,R K Chevrolet Inc,2700,2200,2014-12-18,Virginia
2013,Ford,Taurus,SEL,Sedan,Automatic,1fahp2h86dg174470,20440,Ford Motor Credit Company Llc,16300,18500,2015-01-28,Minnesota
2007,Mercedes-Benz,R-Class,R350,wagon,Automatic,4jgcb65e87a053432,108913,Wells Fargo Dealer Services,7925,8200,2015-06-09,Ohio
2015,BMW,4 Series Gran Coupe,428i xDrive SULEV,sedan,Automatic,wba4c9c57fd330950,5928,Bmw North America Raa,45500,44000,2015-06-16,Ohio
2012,Ford,F-150,XLT,SuperCrew,Automatic,1ftfw1cf1cfb21961,59026,Ford-Lincoln Dealer Program,20700,21900,2015-02-18,Tennessee
2011,Ford,Flex,Limited,wagon,Automatic,2fmgk5dcxbbd33913,76106,Macon Deals Inc,16950,18000,2015-06-11,Georgia
2013,Nissan,Rogue,S,SUV,Automatic,jn8as5mv4dw609424,41339,Avis Corporation,13950,14000,2015-02-11,Minnesota
2013,Volkswagen,Jetta,SE PZEV,Sedan,Automatic,3vwdp7aj3dm415553,630,Vw Credit Prequalified,14200,15000,2015-01-15,California
2002,Mercedes-Benz,S-Class,S55 AMG,Sedan,Automatic,wdbng73j12a277072,122477,California Auto Finance,6100,4500,2015-05-21,Arizona
2012,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap6cc138296,57421,Nissan-Infiniti Lt,10850,9200,2015-03-03,Florida
2007,Toyota,Tundra,SR5,CrewMax Cab,Automatic,5tbev541x7s454330,111902,Wondries Toyota,14000,14750,2015-01-07,California
2013,Mercedes-Benz,M-Class,ML350 BlueTEC 4MATIC,suv,Automatic,4jgda2eb2da249237,55902,Mercedes-Benz Financial Services,31800,31000,2015-06-17,Wisconsin
2002,Dodge,Durango,SLT,SUV,Automatic,1b4hs48nx2f203124,107967,Tdaf Remarketing,2900,2400,2015-02-10,Georgia
2002,Volkswagen,New Beetle,GLS,Hatchback,Automatic,3vwcb21cx2m403850,115850,Honda Of Concord,2225,2450,2015-01-28,North Carolina
2012,BMW,5 Series,528i,Sedan,Automatic,wbaxg5c52cdw92481,29266,Financial Services Remarketing (Lease),29200,30000,2015-02-04,California
2005,BMW,3 Series,330Ci,Coupe,Automatic,wbabd53445pl17137,120352,Mercedes Benz Of Tampa,5925,5900,2015-05-21,Florida
2013,Dodge,Avenger,SE,Sedan,Automatic,1c3cdzag2dn750661,25039,Remktgedge / Cars / Carfinance Capital Llc,11050,10500,2015-01-21,Texas
2001,Chevrolet,Impala,LS,Sedan,Automatic,2g1wh55k919261962,210657,Pat Obrien Chevrolet South,750,1200,2015-01-20,Ohio
2014,Chevrolet,Captiva Sport,LS Fleet,SUV,Automatic,3gnal2ek8es619938,15307,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,14600,9700,2015-02-03,California
2014,Kia,Forte,LX,Sedan,Automatic,knafk4a64e5125377,19640,Northeast Remarketing Service Inc,12150,11900,2015-02-25,Pennsylvania
2012,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap1cn548749,2230,Nissan-Infiniti Lt,13900,14750,2015-01-28,California
2013,Ford,Fusion,SE,Sedan,Automatic,3fa6p0hr2dr235861,59370,Donlen Corporation,12050,11300,2015-05-28,Virginia
2013,Nissan,Altima,3.5 SL,Sedan,Automatic,1n4bl3ap6dc109893,67516,Nissan Motor Acceptance Corporation,12050,13000,2015-05-19,California
2007,GMC,Sierra 1500,Work Truck,Crew Cab,Automatic,2gtec13c971536064,65443,Chrysler Capital,14050,11100,2015-01-07,Missouri
2008,Saturn,Aura,XE,sedan,Automatic,1g8zs57n08f145106,76279,Crossroads Ford Of Fuquay-Varina,4550,5400,2015-06-08,North Carolina
2010,Toyota,Corolla,LE,Sedan,Automatic,2t1bu4ee8ac503937,82137,Santander Consumer,7625,7000,2015-03-03,Tennessee
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,Automatic,1fbss3bl1eda81641,26164,Ford Motor Credit Company,23600,23400,2015-02-19,Tennessee
2013,Ram,1500,SLT,Quad Cab,Automatic,1c6rr7gt7ds695410,35498,Exeter Finance Corp,24200,23200,2015-01-14,Tennessee
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,Automatic,wddgf4hb2cr199083,29943,Mercedes-Benz Financial Services,21200,20750,2015-02-12,Texas
2007,Audi,Q7,4.2 quattro,suv,Automatic,wa1av74l77d015319,108642,Truchoice Fcu,11850,5000,2015-06-18,Florida
2005,Chevrolet,Colorado,Z85 LS Base,Crew Cab,Automatic,1gccs136858149536,54574,Fleet Lease Remarketing,7550,9500,2015-01-12,North Carolina
2014,Chevrolet,Sonic,LT,Hatchback,Automatic,1g1jc6sh5e4220809,11956,Gm Remarketing,11050,10800,2015-02-05,Illinois
2014,BMW,X5,xDrive35d,SUV,Automatic,5uxks4c53e0c06990,1655,Bmw North America Greer,65000,61500,2015-02-24,Ohio
2006,Lexus,GS 300,Base,Sedan,Automatic,jthbh96sx65023360,77180,Mercedes Benz Of Tampa,12300,11900,2014-12-23,Florida
2012,Ram,2500,ST,Crew Cab,Automatic,3c6ud5hl0cg115626,88720,Ford-Lincoln Dealer Program,24400,22600,2015-01-22,Texas
2007,Ford,Five Hundred,SEL,Sedan,Automatic,1fahp24147g159351,79887,Auto Plex,4850,6400,2015-01-08,South Carolina
2001,Chrysler,Town and Country,LXi,Minivan,Automatic,2c8gp54l41r233767,148105,Select Remarketing Group Llc/Loan Max Title,1475,575,2015-01-27,Ohio
2007,Mazda,MX-5 Miata,Touring,Convertible,Manual,jm1nc25f470124532,68139,Sierra Auto Investment Co,8725,6500,2015-02-10,California
2012,Honda,Civic,LX,Sedan,Automatic,19xfb2f59ce319251,35709,Ahfc/Honda Lease Trust/Hvt  Inc. Eot,11100,11600,2015-01-02,Pennsylvania
2008,Ford,Explorer,Eddie Bauer,SUV,Automatic,1fmeu74e98ua01639,79514,Fisher Auto Sales Inc,9975,10500,2015-02-11,Pennsylvania
2010,Ford,F-150,Platinum,SuperCrew,Automatic,1ftfw1ev5afd92345,68778,Capital One Auto Finance,25800,27100,2015-01-13,Georgia
2011,Infiniti,G Coupe,G37,G Coupe,Automatic,jn1cv6ek5bm215528,36474,Nissan Infiniti Lt,20600,19700,2015-01-13,Georgia
2005,Cadillac,Escalade,Base,SUV,Automatic,1gyek63n65r240872,94229,Destinys Auto Sales,10950,13100,2015-02-19,Ohio
2010,Lexus,HS 250h,Premium,sedan,Automatic,jthbb1ba2a2018437,52133,R Hollenshead Auto Sales Inc,16300,16300,2015-06-05,Pennsylvania
2011,GMC,Terrain,SLE-1,suv,Automatic,2ctalmec9b6317053,33828,Suntrust Bank,13900,13700,2015-06-03,Florida
2012,Ford,Fusion,SE,Sedan,Automatic,3fahp0ha7cr281798,29532,Ford Motor Credit Company Llc,11700,11500,2015-01-14,Pennsylvania
2012,Kia,Soul,+,Wagon,Automatic,kndjt2a6xc7412609,58625,Five Star Bank,9700,7700,2015-02-26,New York
2013,Lexus,GS 350,Base,Sedan,Automatic,jthce1bl0d5008750,10386,Lexus Financial Services,36400,40600,2014-12-31,Missouri
2013,Chrysler,300,S,Sedan,Automatic,2c3ccabt3dh710047,19743,Sullivan Auto Group Llc,23700,22900,2015-01-14,Tennessee
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,Automatic,1fbne3bl1eda28541,26130,Avis Budget Group,19000,18900,2015-01-06,Missouri
2010,Toyota,Tundra,Limited,CrewMax Cab,Automatic,5tfhy5f16ax101478,64169,Wholesale Inc # 2,27400,31000,2015-02-11,Tennessee
2011,Lincoln,MKZ,Base,Sedan,Automatic,3lnhl2gc9br766202,24684,Ford Motor Credit Company Llc,13700,13800,2015-01-08,Texas
2012,Ford,Fusion,SE,sedan,Automatic,3fahp0ha2cr288206,35287,Ford Motor Credit Company Llc,11300,10900,2015-06-03,New Jersey
2014,Chevrolet,Impala Limited,LS Fleet,Sedan,Automatic,2g1wa5e3xe1128077,21007,Gm Remarketing,12450,12000,2015-02-24,Illinois
2006,Chevrolet,Suburban,LS 1500,SUV,Automatic,1gnec16z16j138116,100200,M & N Financial,7525,6700,2015-03-05,California
